HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"Lot 29 Oceanview, Tran Phu, Nha Trang Việt Nam",6,47,NA,,,Oceanwind Hotel,Nha Trang,Việt Nam,"Việt Nam,Khánh Hòa,Nha Trang","Gần Oceanwind Hotel có điểm du lịch nổi tiếng nào?, ,Oceanwind Hotel có những tiện nghi phòng gì?, ,Gần Oceanwind Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,12,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293928-d12693359-Reviews-Oceanwind_Hotel-Nha_Trang_Khanh_Hoa_Province.html
"35 Duong Quoc Lo 2, Thai Phu, Mai Dinh, Hà Nội Việt Nam",NA,NA,NA,,,Noi Bai Boutique Hotel,465.116 ₫,395.349 ₫,"395.349 ₫, - ,465.116 ₫",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g21144613-d21143562-Reviews-Noi_Bai_Boutique_Hotel-Mai_Dinh_Hanoi.html
"Điền Xá, Quang Tiến, Sóc Sơn, Hà Nội 100000 Việt Nam",NA,NA,NA,"Tiếng Việt, Tiếng Anh",,Golden Lotus Airport Hotel & Travel,32,Việt Nam,"Việt Nam,Hà Nội,32","Gần Golden Lotus Airport Hotel & Travel có điểm du lịch nổi tiếng nào?, ,Golden Lotus Airport Hotel & Travel có những tiện nghi tại cơ sở kinh doanh gì?, ,Golden Lotus Airport Hotel & Travel có những tiện nghi phòng gì?, ,Golden Lotus Airport Hotel & Travel có chỗ đỗ xe không?, ,Gần Golden Lotus Airport Hotel & Travel có nhà hàng nào?, ,Golden Lotus Airport Hotel & Travel có dịch vụ đưa đón tại sân bay không?, ,Golden Lotus Airport Hotel & Travel có dịch vụ dọn phòng không?, ,Nhân viên tại Golden Lotus Airport Hotel & Travel nói ngôn ngữ gì?, ",NA,NA,NA,NA,NA,NA,NA,32,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d22978199-Reviews-Golden_Lotus_Airport_Hotel_Travel-Hanoi.html
"DT 20 Victory Road, Vườn quốc gia Phong Nha-Kẻ Bàng 510000 Việt Nam",NA,NA,156,"Tiếng Việt, Tiếng Anh, Tiếng Pháp",,Victory Road Villas,2.209.302 ₫,1.441.860 ₫,"1.441.860 ₫, - ,2.209.302 ₫","Gần Victory Road Villas có điểm du lịch nổi tiếng nào?, ,Victory Road Villas có những tiện nghi tại cơ sở kinh doanh gì?, ,Victory Road Villas có những tiện nghi phòng gì?, ,Victory Road Villas có những lựa chọn đồ ăn & đồ uống gì?, ,Victory Road Villas có chỗ đỗ xe không?, ,Gần Victory Road Villas có nhà hàng nào?, ,Tôi có thể tập thể dục tại Victory Road Villas không?, ,Victory Road Villas có dịch vụ đưa đón tại sân bay không?, ,Victory Road Villas có dịch vụ đưa đón tại sân bay không?, ,Victory Road Villas có dịch vụ dọn phòng không?, ",20,118,#1 trong số 8  tại Vườn quốc gia Phong Nha-Kẻ Bàng,50,30,NA,Tuyệt vời,7,"Thời thượng,Tầm nhìn đẹp",,18,https://www.tripadvisor.com.vn/Hotel_Review-g4014591-d12847152-Reviews-Victory_Road_Villas-Phong_Nha_Ke_Bang_National_Park_Quang_Binh_Province.html
"Km 9, Vo Van Kiet, Quang Minh, Gia Lac, Huyen Me Linh, Hà Nội 100000 Việt Nam",NA,NA,NA,,,SPOT ON 835 Truong An Hotel 2,Hà Nội,Truong An Hotel 2,"Truong An Hotel 2,Việt Nam,Hà Nội","Gần SPOT ON 835 Truong An Hotel 2 có điểm du lịch nổi tiếng nào?, ",NA,NA,NA,NA,NA,NA,NA,10,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d20146424-Reviews-SPOT_ON_835_Truong_An_Hotel_2-Hanoi.html
"Ngọc Thanh, Vĩnh Yên 280000 Việt Nam",NA,NA,1,"Tiếng Việt, Tiếng Anh",,Wyndham Grand Flamingo Dai Lai Resort,4.069.767 ₫,2.651.163 ₫,"2.651.163 ₫, - ,4.069.767 ₫","Wyndham Grand Flamingo Dai Lai Resort có những tiện nghi tại cơ sở kinh doanh gì?, ,Wyndham Grand Flamingo Dai Lai Resort có những tiện nghi phòng gì?, ,Wyndham Grand Flamingo Dai Lai Resort có những lựa chọn đồ ăn & đồ uống gì?, ,Wyndham Grand Flamingo Dai Lai Resort có chỗ đỗ xe không?, ,Tôi có thể tập thể dục tại Wyndham Grand Flamingo Dai Lai Resort không?, ,Wyndham Grand Flamingo Dai Lai Resort có dịch vụ đưa đón tại sân bay không?, ,Wyndham Grand Flamingo Dai Lai Resort có dịch vụ đưa đón tại sân bay không?, ,Wyndham Grand Flamingo Dai Lai Resort có cung cấp dịch vụ doanh nghiệp nào không?, ",3,NA,NA,NA,NA,NA,NA,181,NA,,3,https://www.tripadvisor.com.vn/Hotel_Review-g2062763-d21294849-Reviews-Wyndham_Grand_Flamingo_Dai_Lai_Resort-Vinh_Yen_Vinh_Phuc_Province.html
"R26, Pho Rung - Anh Nguyen Ocean Front, Nha Trang Việt Nam",129,45,NA,,,The Trang Luxury Villa Nha Trang,36.976.744 ₫,18.813.952 ₫,"18.813.952 ₫, - ,36.976.744 ₫","Gần The Trang Luxury Villa Nha Trang có điểm du lịch nổi tiếng nào?, ,Gần The Trang Luxury Villa Nha Trang có nhà hàng nào?, ",NA,NA,NA,NA,NA,770,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293928-d21887193-Reviews-The_Trang_Luxury_Villa_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html
"6 Võ Nguyên Giáp, Mai Dinh, Hà Nội Việt Nam",NA,NA,NA,,,La Teisu Airport Hotel,441.860 ₫,418.605 ₫,"418.605 ₫, - ,441.860 ₫","Gần La Teisu Airport Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g21157075-d21156618-Reviews-La_Teisu_Airport_Hotel-Mai_Dinh_Hanoi.html
"Đường Dôi Trần Phú, Lien Nghia 66800 Việt Nam",NA,NA,NA,,,Bang Thanh Hotel,441.860 ₫,348.837 ₫,"348.837 ₫, - ,441.860 ₫","Gần Bang Thanh Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g19844636-d21405823-Reviews-Bang_Thanh_Hotel-Lien_Nghia_Lam_Dong_Province.html
"08 Tran Phu Street, Nha Trang 650000 Việt Nam",6,47,NA,,,La Vague Hotel,790.698 ₫,627.907 ₫,"627.907 ₫, - ,790.698 ₫","Gần La Vague Hotel có điểm du lịch nổi tiếng nào?, ,Gần La Vague Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,12,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293928-d23048335-Reviews-La_Vague_Hotel-Nha_Trang_Khanh_Hoa_Province.html
